Date,Close,Volume,Open,High,Low,MA,RSI,Upper,Lower,EMA12,EMA26,MACD,Combined_Indicator,Signal,Actual_Position
2020-01-10,77.5825,140869080,77.65,78.1675,77.0625,79.1417857142857,33.61267245784363,81.70548363712922,76.57808779144219,78.7380540190933,78.0829453275037,0.6551086915896036,-0.41484573625936433,S,S
2020-01-09,77.4075,170486160,76.8088,77.6075,76.55,78.8875,26.535872834025483,81.54000024805053,76.23499975194947,78.53335340077125,78.0329123402812,0.5004410604900471,-0.6214516766104552,S,S
2020-01-08,75.7975,132363800,74.29,76.11,74.289,78.50982142857143,23.974512146555185,81.32263528242575,75.6970075747171,78.11245287757568,77.86732624100111,0.24512663657456812,-0.7120267119132283,S,S
2020-01-07,74.5975,111510640,74.96,75.225,74.37,78.16517857142857,24.578116494284174,81.4428057920697,74.88755135078743,77.57169089641019,77.62511688981584,-0.05342599340565357,-0.7177223467416242,S,L
2020-01-06,74.95,118578560,73.4475,74.99,73.1875,78.00178571428572,28.81882770870341,81.58675448022375,74.41681694834769,77.16835383542401,77.42696008316281,-0.2586062477387969,-0.6158270661091227,S,S
2020-01-03,74.3575,146535520,74.2875,75.145,74.125,77.62892857142857,19.742237844171115,81.59472558930051,73.66313155355664,76.73591478382032,77.19959266959519,-0.4636778857748709,-0.8815688686330189,S,L
2020-01-02,75.0875,135647440,74.06,75.15,73.7975,77.29178571428572,21.934432168085536,81.47458233448009,73.10898909409136,76.48231250938642,77.0431413607363,-0.560828851349882,-0.8317306318719645,S,S
2019-12-31,73.4125,100990520,72.4825,73.42,72.38,76.86232142857143,20.056310036435946,81.27827500474982,72.44636785239305,76.0100336617885,76.77420496364472,-0.7641713018562228,-0.9010702441591509,S,S
2019-12-30,72.88,144238440,72.365,73.1725,71.305,76.41499999999999,19.7295536005214,81.00124960732049,71.8287503926795,75.52849002151333,76.48574533670808,-0.9572553151947432,-0.9275954347057815,S,S
2019-12-27,72.45,146371760,72.78,73.4925,72.03,75.89839285714287,16.927526369513487,80.82729366340953,70.9694920508762,75.05487617204975,76.18680123769266,-1.1319250656429176,-1.0215826989260985,S,L
2019-12-26,72.4775,93336000,71.205,72.495,71.175,75.44607142857141,18.12286074581162,80.74645314274174,70.14568971440109,74.65835676096518,75.91203818304876,-1.253681422083588,-1.0019443318852843,S,S
2019-12-24,71.0675,48478840,71.1725,71.2225,70.7299,74.96267857142857,17.572052401746774,80.62243409898461,69.30292304387252,74.10591725927823,75.55318350282293,-1.4472662435447035,-1.0349251758035796,S,S
2019-12-23,71.0,98711520,70.1325,71.0625,70.0934,74.4505357142857,15.90080233406276,80.29882526968625,68.60224615888517,73.62808383477389,75.21591065076197,-1.5878268159880804,-1.0959745889891084,S,S
2019-12-20,69.86,276130960,70.5575,70.6625,69.64,73.78053571428572,8.73328088119598,79.92665371781293,67.63441771075851,73.04837862942406,74.8191765284833,-1.7707978990592323,-1.3122064158083335,S,L
2019-12-19,70.005,98507800,69.875,70.295,69.7375,73.23928571428571,11.064580119021443,79.53634881420257,66.94222261436886,72.58016653258959,74.46257085970676,-1.8824043271171718,-1.2622783920530938,S,S
2019-12-18,69.935,116098760,69.95,70.475,69.78,72.70553571428572,11.167964404894391,78.93084197921998,66.48022944935146,72.17321783526812,74.12719524046922,-1.9539774052011012,-1.2711101218032101,S,L
2019-12-17,70.1025,114303200,69.8925,70.4425,69.7,72.29875,14.278544542032705,78.4267654983072,66.17073450169279,71.85464586061148,73.82906966710112,-1.9744238064896393,-1.192759290625278,S,S
2019-12-16,69.965,128324440,69.25,70.1975,69.245,71.96785714285714,15.983146067415817,78.04537544265153,65.89033884306275,71.5639311128251,73.5428422843529,-1.9789111715277983,-1.1508826012474238,S,S
2019-12-13,68.7875,133731240,67.865,68.825,67.7325,71.52767857142858,11.416377700720233,77.54113669621393,65.51422044664324,71.13678786469816,73.19059470773418,-2.053806843036014,-1.286589064405061,S,S
2019-12-12,67.865,137748160,66.945,68.14,66.8303,71.06392857142858,11.028085544962678,76.7546210820222,65.37323606083496,70.63343588551383,72.79610621086498,-2.1626703253511437,-1.310464675604688,S,S
2019-12-11,67.6925,78893560,67.2025,67.775,67.125,70.53571428571429,4.04040404040407,76.0761036590365,64.99532491239208,70.18098421081939,72.41806130635646,-2.2370770955370745,-1.5137614574569958,S,S
